,total_cup_points,species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,altitude_mean_meters,moisture
340,83.58,Arabica,Mexico,Caturra,7.75,7.58,7.58,7.5,7.67,10.0,1200.0,0.12
341,83.58,Arabica,Ethiopia,Other,7.75,7.58,7.67,7.5,7.67,10.0,1850.0,0.0
342,83.58,Arabica,Uganda,SL14,7.67,7.42,7.75,7.75,7.67,10.0,1800.0,0.12
343,83.58,Arabica,Colombia,Caturra,7.67,7.67,7.67,7.67,7.67,10.0,1600.0,0.0
344,83.58,Arabica,Colombia,Caturra,7.67,7.67,7.58,7.67,7.75,10.0,1550.0,0.12
345,83.58,Arabica,Colombia,Caturra,7.75,7.5,7.58,7.75,7.83,10.0,1550.0,0.0
346,83.58,Arabica,Taiwan,Typica,7.75,7.75,7.75,7.5,7.58,10.0,1000.0,0.11
347,83.58,Arabica,Colombia,Caturra,7.67,7.58,7.67,7.75,7.58,10.0,1775.0,0.11
348,83.58,Arabica,Mexico,Typica,7.83,7.58,7.58,7.67,7.58,10.0,1000.0,0.12
349,83.58,Arabica,Colombia,Caturra,7.67,7.58,7.58,7.67,7.75,10.0,2136.0,0.11
350,83.58,Arabica,Brazil,Catuai,7.83,7.5,7.75,7.5,7.58,10.0,1100.0,0.12
351,83.5,Arabica,Colombia,Caturra,7.75,7.58,7.75,7.75,7.5,10.0,1799.0,0.0
353,83.5,Arabica,Costa Rica,Caturra,7.92,7.5,7.67,7.5,7.67,10.0,1850.0,0.0
354,83.5,Arabica,Colombia,Caturra,7.75,7.58,7.5,7.75,7.75,10.0,1000.0,0.0
355,83.5,Arabica,Guatemala,Bourbon,7.67,7.5,7.83,7.58,7.58,10.0,1219.2,0.1
