,total_cup_points,species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,altitude_mean_meters,moisture
356,83.5,Arabica,Colombia,Caturra,7.58,7.58,7.58,7.75,7.67,10.0,1775.0,0.12
357,83.5,Arabica,"Tanzania, United Republic Of",Ruiru 11,7.75,7.58,7.67,7.67,7.58,10.0,1400.0,0.13
358,83.5,Arabica,Indonesia,Sumatra,7.25,7.58,7.92,7.83,7.58,10.0,1500.0,0.13
361,83.5,Arabica,Colombia,Caturra,8.0,7.25,7.58,7.92,7.58,10.0,1850.0,0.11
362,83.5,Arabica,Guatemala,Caturra,7.58,7.5,7.83,7.42,7.67,10.0,1400.0,0.1
363,83.5,Arabica,Colombia,Caturra,7.75,7.33,7.5,7.83,7.83,10.0,1650.0,0.0
364,83.5,Arabica,Honduras,Caturra,7.67,7.67,7.5,7.67,7.67,10.0,1350.0,0.1
365,83.5,Arabica,Colombia,Caturra,7.58,7.42,7.67,7.75,7.67,10.0,1750.0,0.0
366,83.5,Arabica,Colombia,Caturra,7.58,7.58,7.75,7.58,7.75,10.0,1750.0,0.11
367,83.5,Arabica,Mexico,Bourbon,7.83,7.25,7.5,7.5,7.42,10.0,1170.0,0.13
368,83.5,Arabica,Mexico,Typica,7.67,7.67,7.75,7.58,7.5,10.0,940.0,0.11
369,83.5,Arabica,Mexico,Pacamara,7.75,7.67,7.75,7.33,7.5,10.0,1400.0,0.12
370,83.5,Arabica,Guatemala,Caturra,7.83,7.5,8.0,7.67,7.5,10.0,1524.0,0.1
371,83.5,Arabica,Colombia,Caturra,7.67,7.58,7.67,7.67,7.67,10.0,1775.0,0.11
